OpenSource,UndergradMajor,CompanySize,DevType,YearsCoding,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,Age,Country,Student,Currency,Salary
Yes,"Computer science, computer engineering, or software engineering","10,000 or more employees",Designer;Full-stack developer,12-14 years,Java;JavaScript;HTML;CSS;Bash/Shell,NA,Android;IBM Cloud or Watson;Mainframe;Serverless,React,25 - 34 years old,United Kingdom,No,British pounds sterling (£),51183
No,"A business discipline (ex. accounting, finance, marketing)",10 to 19 employees,DevOps specialist,0-2 years,Python;Bash/Shell,MySQL;PostgreSQL;MariaDB,Linux,Django,NA,Ukraine,No,NA,NA
No,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;QA or test developer,6-8 years,C#;Java;SQL;Swift;CSS,MongoDB;MySQL;MariaDB,iOS,Spring,25 - 34 years old,Germany,No,Euros (€),2400
No,"Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Embedded applications or devices developer,3-5 years,C;Java,NA,Android,NA,25 - 34 years old,India,No,Indian rupees (₹),300000
Yes,"Information systems, information technology, or system administration",20 to 99 employees,Data or business analyst;Database administrator;Desktop or enterprise applications developer;QA or test developer;System administrator,0-2 years,NA,NA,NA,NA,NA,Nepal,"Yes, part-time",NA,NA
Yes,"Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,6-8 years,C#;JavaScript;SQL;TypeScript;VB.NET;HTML;CSS,MongoDB;SQL Server,Azure;iOS;SharePoint,Angular;.NET Core;Node.js;React;Cordova;Xamarin;TensorFlow,NA,United States,No,NA,NA
Yes,"Information systems, information technology, or system administration",10 to 19 employees,Full-stack developer,3-5 years,NA,NA,NA,NA,NA,Bangladesh,No,NA,NA
No,"Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer,3-5 years,C#;JavaScript;SQL;HTML;CSS,SQL Server,Windows Desktop or Server,NA,25 - 34 years old,Pakistan,No,NA,NA
Yes,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer,9-11 years,Go;JavaScript;Python;R;SQL;HTML;CSS;Bash/Shell,Redis;PostgreSQL;Amazon DynamoDB,Arduino;AWS;Linux;Mac OS;Raspberry Pi,Django;React,25 - 34 years old,United States,No,U.S. dollars ($),120000
No,"Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Data or business analyst,3-5 years,C;C++;Java;HTML;CSS,MySQL;SQLite,Amazon Echo;Android;Arduino;Windows Desktop or Server,NA,18 - 24 years old,India,No,Indian rupees (₹),NA
Yes,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,21-23 years,C#;JavaScript;TypeScript;HTML;CSS,SQL Server,Azure;Windows Desktop or Server,Angular;.NET Core;React,35 - 44 years old,United Kingdom,No,British pounds sterling (£),50000
Yes,NA,100 to 499 employees,Designer;Front-end developer;Mobile developer;QA or test developer,3-5 years,Swift;HTML;CSS,NA,Apple Watch or Apple TV;iOS;Mac OS,NA,25 - 34 years old,United Kingdom,No,British pounds sterling (£),46000
Yes,"A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Full-stack developer,3-5 years,C++;Go;Hack;JavaScript;Julia;PHP;Python;SQL;HTML;CSS;Bash/Shell,Redis;MySQL;Amazon Redshift;Amazon RDS/Aurora,Android;AWS;iOS;Linux;Mac OS,React;TensorFlow,NA,United States,No,U.S. dollars ($),NA
No,"Computer science, computer engineering, or software engineering",100 to 499 employees,Front-end developer;Full-stack developer,3-5 years,C#;JavaScript;TypeScript;HTML;CSS,SQL Server;MySQL,NA,Angular;.NET Core;Node.js,25 - 34 years old,Sweden,No,Swedish kroner (SEK),510000
Yes,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,21-23 years,C#;F#;JavaScript;Python;SQL;VB.NET;CSS,SQL Server;MySQL;Amazon Redshift;Amazon RDS/Aurora,Amazon Echo;Android;AWS;Raspberry Pi,.NET Core;TensorFlow,25 - 34 years old,United States,No,U.S. dollars ($),110000
No,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,3-5 years,C#;JavaScript;SQL;TypeScript;HTML;CSS,SQL Server;Oracle,NA,Angular,25 - 34 years old,India,No,Indian rupees (₹),NA
No,"Computer science, computer engineering, or software engineering",500 to 999 employees,Front-end developer,12-14 years,JavaScript;HTML;CSS;Bash/Shell,NA,NA,Angular,NA,Poland,No,NA,NA
No,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,6-8 years,C#;JavaScript;SQL;HTML;CSS,SQL Server,Windows Desktop or Server,NA,25 - 34 years old,South Africa,No,South African rands (R),29000
No,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer,12-14 years,NA,NA,NA,NA,NA,Canada,"Yes, full-time",NA,NA
Yes,"Computer science, computer engineering, or software engineering",100 to 499 employees,Engineering manager;Front-end developer,9-11 years,NA,NA,NA,NA,NA,Jordan,"Yes, full-time",NA,NA
Yes,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Mobile developer,3-5 years,Java,SQLite,Android;Firebase,Spark,25 - 34 years old,India,"Yes, full-time",Indian rupees (₹),52000
No,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,DevOps specialist;Full-stack developer,9-11 years,C;JavaScript;Python;SQL;Swift;HTML;CSS;Bash/Shell,MySQL;PostgreSQL,AWS;Linux;Mac OS,Django,25 - 34 years old,Portugal,No,Euros (€),17500
Yes,"Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,15-17 years,C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server,AWS,.NET Core;Node.js,25 - 34 years old,United Kingdom,No,British pounds sterling (£),55000
No,"Computer science, computer engineering, or software engineering",100 to 499 employees,Data scientist or machine learning specialist,9-11 years,Java;JavaScript;Scala;SQL;HTML;CSS,MySQL;PostgreSQL,AWS;Linux,Hadoop;Spark;Spring,25 - 34 years old,Italy,No,Euros (€),25000
No,"A business discipline (ex. accounting, finance, marketing)",500 to 999 employees,Full-stack developer,3-5 years,C#;JavaScript;TypeScript;HTML;CSS,MySQL,Mac OS;Windows Desktop or Server,Node.js;React,25 - 34 years old,New Zealand,"Yes, full-time",Australian dollars (A$),75000
No,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Full-stack developer,3-5 years,Assembly;C#;JavaScript,MongoDB;Redis;SQL Server;MySQL;SQLite,Azure,Angular;.NET Core,25 - 34 years old,Turkey,"Yes, full-time",NA,72000
No,NA,100 to 499 employees,Back-end developer,18-20 years,Java;JavaScript;SQL;TypeScript;HTML;CSS,MariaDB,Linux,Angular;Spring,35 - 44 years old,Czech Republic,No,NA,NA
No,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Embedded applications or devices developer;Full-stack developer;Mobile developer;QA or test developer,15-17 years,Assembly;C;C#;Java;JavaScript;SQL;VB.NET;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite,Android;Arduino;AWS;Linux;Raspberry Pi,Node.js;Spring,NA,Israel,No,NA,NA
Yes,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Full-stack developer;Product manager,3-5 years,PHP;Python;R;SQL;HTML;CSS,SQL Server;MySQL;PostgreSQL;SQLite,Heroku,Django;TensorFlow,25 - 34 years old,Poland,No,Polish złoty (zł),12000
No,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,C++;Java;JavaScript;Python;SQL,MongoDB;SQL Server;MySQL;PostgreSQL,Android;Linux;Raspberry Pi,Angular;Node.js,25 - 34 years old,Portugal,No,Euros (€),40000
No,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Front-end developer;Full-stack developer;Mobile developer,15-17 years,Java;JavaScript;HTML;CSS,SQLite,Android,NA,25 - 34 years old,India,No,Indian rupees (₹),200000
Yes,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer;QA or test developer,6-8 years,JavaScript;Python;Rust;HTML;CSS,MongoDB;MySQL,AWS,Node.js;React,18 - 24 years old,United Kingdom,NA,British pounds sterling (£),25000
Yes,NA,10 to 19 employees,Back-end developer,3-5 years,NA,NA,NA,NA,NA,India,"Yes, full-time",NA,NA
Yes,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Mobile developer,6-8 years,C#;JavaScript;SQL;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Android;Azure;iOS,.NET Core;Xamarin,25 - 34 years old,Sweden,No,Swedish kroner (SEK),37000
No,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Game or graphics developer,3-5 years,NA,NA,NA,NA,NA,Viet Nam,No,NA,NA
No,"Computer science, computer engineering, or software engineering",10 to 19 employees,Full-stack developer,12-14 years,NA,NA,NA,NA,NA,Spain,No,NA,NA
Yes,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Mobile developer;Student,9-11 years,C;JavaScript;Objective-C;Swift,MySQL;SQLite,Android;iOS,Cordova,25 - 34 years old,India,No,Indian rupees (₹),1770000
No,"A social science (ex. anthropology, psychology, political science)","1,000 to 4,999 employees",Data scientist or machine learning specialist;Database administrator,9-11 years,JavaScript;Python;SQL;VBA,SQL Server;MySQL;PostgreSQL;Amazon Redshift,Amazon Echo;Apple Watch or Apple TV;Arduino;Raspberry Pi,NA,25 - 34 years old,United States,No,U.S. dollars ($),70000
Yes,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data or business analyst;Front-end developer;Full-stack developer,15-17 years,C#;Java;JavaScript;Lua;PHP;Python;SQL;VBA;VB.NET;HTML;CSS;Bash/Shell,MySQL;MariaDB,Android;Linux;Windows Desktop or Server;WordPress,.NET Core;Node.js,25 - 34 years old,Denmark,No,Danish krone (kr),30000
No,"Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Full-stack developer,6-8 years,C++;Go;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL,AWS;Linux,Django;React,25 - 34 years old,Australia,No,Australian dollars (A$),75000
No,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Embedded applications or devices developer,15-17 years,Assembly;C;C++;Haskell;JavaScript;Python;Rust;SQL;HTML;CSS;Bash/Shell,Redis;PostgreSQL;MariaDB,Linux;Mac OS,React;TensorFlow,25 - 34 years old,Australia,No,Australian dollars (A$),115000
No,"Information systems, information technology, or system administration",10 to 19 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Product manager;Student;System administrator,3-5 years,C#;SQL;TypeScript;HTML,MongoDB;SQL Server,NA,Angular,25 - 34 years old,"Iran, Islamic Republic of...",No,NA,30000000
Yes,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Designer;DevOps specialist;Front-end developer;Full-stack developer;Product manager;QA or test developer;Student,6-8 years,C#;F#;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server,Linux,Angular;.NET Core;Node.js;Cordova,25 - 34 years old,France,"Yes, part-time",Euros (€),45000
No,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,9-11 years,C#;Clojure;Erlang;Haskell;Java;JavaScript;Scala;SQL;TypeScript;HTML;CSS,"MongoDB;SQL Server;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc);Neo4j",Azure;Windows Desktop or Server,Angular;.NET Core,25 - 34 years old,Austria,No,Euros (€),NA
Yes,"A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Back-end developer;Data or business analyst;Database administrator;Front-end developer;System administrator,30 or more years,C;Go;Java;JavaScript;Lua;PHP;Python;Rust;Ocaml;HTML;CSS;Bash/Shell,PostgreSQL,NA,Cordova,45 - 54 years old,Australia,No,Australian dollars (A$),110000
Yes,Mathematics or statistics,"1,000 to 4,999 employees",Data scientist or machine learning specialist,3-5 years,NA,NA,NA,NA,NA,United States,No,NA,NA
Yes,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,JavaScript;PHP;SQL;TypeScript;HTML;CSS,SQL Server;MySQL,Amazon Echo;AWS;WordPress;Firebase,Angular;React,25 - 34 years old,India,"Yes, full-time",Indian rupees (₹),40000
No,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Full-stack developer,6-8 years,C#;JavaScript;Python;HTML;CSS,SQL Server;MySQL;SQLite,WordPress,React,25 - 34 years old,United States,No,U.S. dollars ($),105000
No,Web development or web design,500 to 999 employees,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,C;C++;C#;JavaScript;PHP;SQL;TypeScript;VB.NET;Delphi/Object Pascal;HTML;CSS;Bash/Shell,SQL Server;MySQL;Elasticsearch,Android;WordPress,Angular;.NET Core;Node.js;Cordova,NA,India,No,NA,NA
No,"Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator,0-2 years,Go;JavaScript;Python;SQL;Bash/Shell,MongoDB;Redis;PostgreSQL;Elasticsearch,Linux,NA,NA,Russian Federation,"Yes, part-time",NA,NA
Yes,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Mobile developer,6-8 years,C;Java;JavaScript;Objective-C;PHP;Python;Ruby;Swift;HTML;CSS;Bash/Shell,"MongoDB;Redis;MySQL;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Android;iOS,Node.js;React,25 - 34 years old,United States,No,U.S. dollars ($),105000
Yes,"Information systems, information technology, or system administration",10 to 19 employees,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,6-8 years,JavaScript;PHP;SQL;HTML;CSS,MySQL,NA,NA,25 - 34 years old,India,No,U.S. dollars ($),NA
No,NA,"10,000 or more employees",Back-end developer,6-8 years,JavaScript;Python;HTML;CSS;Bash/Shell,MongoDB;Redis,Linux;Mac OS;Windows Desktop or Server,Angular,25 - 34 years old,India,NA,Indian rupees (₹),NA
No,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,3-5 years,NA,NA,NA,NA,NA,India,No,Indian rupees (₹),NA
Yes,"A business discipline (ex. accounting, finance, marketing)",10 to 19 employees,Full-stack developer,9-11 years,C#,SQL Server,Android;iOS;Windows Desktop or Server,.NET Core,NA,United Kingdom,No,British pounds sterling (£),NA
Yes,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,12-14 years,C#;JavaScript;SQL,SQL Server,Windows Desktop or Server,Angular;.NET Core,25 - 34 years old,Egypt,No,U.S. dollars ($),3000
